parsha,repeated words
Ha'Azinu,"['את', 'כי', 'אל', 'דבר', 'אשר']"
Bereshit,"['ולד', 'זרע', 'תשח', 'אלמ', 'אנש', 'ירד', 'מאת', 'אמר', 'וחי', 'הוה', 'קננ', 'שנה', 'למכ', 'כל', 'הממ', 'אדמ', 'שבע', 'למנ', 'לכל', 'הבל', 'רקע', 'ללל', 'שת', 'את', 'קינ', 'חנכ', 'כי', 'והי', 'ארצ', 'קרא', 'אל', 'אשר']"
Noach,"['ולד', 'בני', 'שלח', 'מאת', 'אבר', 'וחי', 'הוה', 'נחר', 'אחר', 'שנה', 'כל', 'הממ', 'אדמ', 'על', 'שבע', 'הלד', 'שלש', 'את', 'תבה', 'הרנ', 'שמ', 'תרח', 'עננ', 'ואת', 'ובנ', 'ארצ', 'הנה', 'נח', 'ברת', 'ילד', 'מכל', 'אשר', 'אתכ']"
Lech-Lecha,"['אבר', 'אמר', 'שרי', 'הוה', 'זעכ', 'חרכ', 'את', 'לוט', 'אתו', 'ואת', 'פרע', 'מלכ', 'צרמ', 'אל', 'ברת']"
Vayera,"['אלמ', 'אול', 'אבר', 'אמר', 'הוה', 'נא', 'שבע', 'את', 'שמ', 'כי', 'ואת', 'אבנ', 'הוא', 'נער', 'לא', 'בלכ', 'צדק', 'שרה', 'צחק', 'אל', 'בנ', 'דבר']"
Chayei Sara,"['אבר', 'אמר', 'קבר', 'רבק', 'אלה', 'עפנ', 'את', 'אדנ', 'שעל', 'ואת', 'ארצ', 'צחק', 'אשר']"
Toldot,"['בני', 'אמר', 'עקב', 'באר', 'את', 'עשו', 'צחק', 'קרא', 'אל', 'לי', 'חפר', 'בנת']"
Vayetzei,"['הזה', 'אלמ', 'בני', 'לבנ', 'שפח', 'אמר', 'עקב', 'רחל', 'באר', 'תאר', 'אחי', 'את', 'אתה', 'כי', 'הגל', 'לאה', 'בנכ', 'צאנ', 'בנ', 'אשר']"
Vayishlach,"['אלמ', 'עדר', 'לכ', 'אשת', 'בני', 'אמר', 'עקב', 'עשר', 'נא', 'כל', 'על', 'דשנ', 'תחת', 'אלה', 'לפז', 'את', 'גמ', 'כי', 'ואת', 'עשו', 'ומת', 'מלכ', 'אל', 'ענה', 'בנ', 'אלפ', 'אשר']"
Vayeshev,"['סהר', 'כנת', 'אמר', 'וספ', 'הוה', 'בית', 'הדה', 'בגד', 'את', 'שמו', 'לו', 'חלמ', 'שר', 'אתו', 'כי', 'והי', 'פרע', 'לא', 'הנה', 'אל', 'אשר']"
Miketz,"['אנש', 'כספ', 'אמר', 'וספ', 'כל', 'על', 'שבר', 'שבע', 'פתר', 'את', 'פרת', 'כי', 'אתמ', 'פרע', 'ארצ', 'הנה', 'צרמ', 'שבל', 'אשר', 'רעב']"
Vayigash,"['כספ', 'אמר', 'עקב', 'וספ', 'כל', 'אלה', 'את', 'אחו', 'אדנ', 'עדכ', 'כי', 'ובנ', 'ברצ', 'נער', 'פרע', 'ארצ', 'לא', 'נפש', 'צאנ', 'צרמ', 'אל']"
Vayechi,"['אמר', 'וספ', 'ראש', 'בכת', 'שרל', 'את', 'כי', 'אל', 'אשר']"
Shemot,"['אלמ', 'לדת', 'אמר', 'הוה', 'שרל', 'תאר', 'הלד', 'אלה', 'את', 'משה', 'אנכ', 'סנה', 'פרע', 'צרמ', 'אל', 'תבנ', 'דבר']"
Vaera,"['ארנ', 'ברד', 'בני', 'אמר', 'הוה', 'באר', 'שרל', 'על', 'צפד', 'אלה', 'את', 'האר', 'לו', 'מקנ', 'משה', 'ערב', 'כי', 'ובנ', 'פרע', 'ארצ', 'צרמ', 'אל', 'דבר', 'אשר', 'אתכ']"
Bo,"['לכ', 'הוה', 'כל', 'על', 'בכר', 'בו', 'את', 'גמ', 'אכל', 'ארצ', 'לא', 'צרמ', 'חדש']"
